Approved Symbol	Approved Name	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	UniProt ID(supplied by UniProt)	UCSC ID(supplied by UCSC)
MT1P3	metallothionein 1 pseudogene 3	20q11.22	BC103840	140851	ENSG00000229230	NG_005652		
MTCO1P32	mitochondrially encoded cytochrome c oxidase I pseudogene 32	20q11.21						
MTCO2P1	mitochondrially encoded cytochrome c oxidase II pseudogene 1	20q13.33	AL121918	140909	ENSG00000229690			
MTCO3P32	mitochondrially encoded cytochrome c oxidase III pseudogene 32	20q11.21						
MTG2	mitochondrial ribosome associated GTPase 2	20q13.33	AK001603	26164	ENSG00000101181	NM_015666	Q9H4K7	
MTND1P9	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 9	20q13.31		100873221	ENSG00000228995			
MTRNR2L3	MT-RNR2 like 3	20q13.31		100462983	ENSG00000256222	NM_001190472	P0CJ70	uc021wfd.2
MYBL2	MYB proto-oncogene like 2	20q13.12		4605	ENSG00000101057	NM_002466	P10244	uc002xlb.3
MYH7B	myosin heavy chain 7B	20q11.22	AB040945	57644	ENSG00000078814	NM_020884	A7E2Y1	uc061wko.1
MYL9	myosin light chain 9	20q11.23	J02854	10398	ENSG00000101335	NM_006097	P24844	uc002xfl.3
MYLK2	myosin light chain kinase 2	20q11.21	AF325549	85366	ENSG00000101306	NM_033118	Q9H1R3	uc061wct.1
MYT1	myelin transcription factor 1	20q13.33	M96980	4661	ENSG00000196132	NM_004535	Q01538	uc002yii.3
NAA20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	20p11.23	AF085355	51126	ENSG00000173418	NM_016100	P61599	uc002wrp.4
NANP	N-acetylneuraminic acid phosphatase	20p11.21	AL031673	140838	ENSG00000170191	NM_152667	Q8TBE9	uc002wuy.5
NAPB	NSF attachment protein beta	20p11.21	AK022817	63908	ENSG00000125814	NM_022080	Q9H115	uc002wta.4
NCOA3	nuclear receptor coactivator 3	20q13.12	AF012108	8202	ENSG00000124151	NM_006534	Q9Y6Q9	uc002xtk.4
NCOA5	nuclear receptor coactivator 5	20q13.12		57727	ENSG00000124160	NM_020967	Q9HCD5	uc002xre.4
NCOA6	nuclear receptor coactivator 6	20q11.22	AF128458	23054	ENSG00000198646	NM_014071	Q14686	uc002xaw.4
NCOR1P1	nuclear receptor corepressor 1 pseudogene 1	20p11.1	AL391119	149934	ENSG00000240108		Q9H4R4	
NDRG3	NDRG family member 3	20q11.23	AL031662	57446	ENSG00000101079		Q9UGV2	uc002xfw.4
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	20p12.1		79133	ENSG00000101247	NM_001039375	Q5TEU4	uc002wom.4
NDUFB4P10	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 10	20q13.12			ENSG00000232880			
NECAB3	N-terminal EF-hand calcium binding protein 3	20q11.22	AB039947	63941	ENSG00000125967		Q96P71	uc002wzn.5
NELFCD	negative elongation factor complex member C/D	20q13.32	AF161479	51497	ENSG00000101158	NM_198976	Q8IXH7	uc002yag.4
NEURL2	neuralized E3 ubiquitin protein ligase 2	20q13.12	AL008726	140825	ENSG00000124257		Q9BR09	uc002xqg.3
NFATC2	nuclear factor of activated T cells 2	20q13.2	U43342, U43341	4773	ENSG00000101096	NM_012340	Q13469	uc002xwd.4
NFS1	NFS1, cysteine desulfurase	20q11.22	AF097025	9054	ENSG00000244005	NM_021100	Q9Y697	uc002xdw.3
NINL	ninein like	20p11.21		22981	ENSG00000101004	NM_025176	Q9Y2I6	uc002wux.3
NKAIN4	sodium/potassium transporting ATPase interacting 4	20q13.33	BC041812	128414	ENSG00000101198	NM_152864	Q8IVV8	uc002yek.3
NKILA	NF-kappaB interacting lncRNA	20q13.31	AK056098	105416157	ENSG00000278709	NR_131157		
NKX2-2	NK2 homeobox 2	20p11.22	AF019415	4821	ENSG00000125820		O95096	uc002wsi.4
NKX2-2-AS1	NKX2-2 antisense RNA 1	20p11.22			ENSG00000258197			uc061vug.1
NKX2-4	NK2 homeobox 4	20p11.22		644524	ENSG00000125816		Q9H2Z4	uc010gcz.4
NMTRL-TAA5-1	nuclear-encoded mitochondrial transfer RNA-Leu (TAA) 5-1	20q13.31	HG984166	100189466				
NNAT	neuronatin	20q11.23		4826	ENSG00000053438	NM_005386	Q16517	uc002xhd.4
NOL4L	nucleolar protein 4 like	20q11.21	AL034550	140688	ENSG00000197183	NM_080616	Q96MY1	
NOL4L-DT	NOL4L divergent transcript	20q11.21		149950	ENSG00000204393	NR_034152		
NOP56	NOP56 ribonucleoprotein	20p13	Y12065	10528	ENSG00000101361	NM_006392	O00567	uc002wgh.4
NORAD	non-coding RNA activated by DNA damage	20q11.23	AI619767, AK090641, BC011592	647979	ENSG00000260032	NR_027451		uc061wse.1
NPBWR2	neuropeptides B and W receptor 2	20q13.33	U22492	2832	ENSG00000125522	NM_005286	P48146	uc011abt.3
NPEPL1	aminopeptidase like 1	20q13.32	AK021645	79716	ENSG00000215440	NM_024663	Q8NDH3	uc010zzs.2
NPM1P19	nucleophosmin 1 pseudogene 19	20q11.23	AF164690	10828	ENSG00000223864			
NRSN2	neurensin 2	20p13	AL136915	80023	ENSG00000125841	NM_024958	Q9GZP1	uc002wdi.5
NRSN2-AS1	NRSN2 antisense RNA 1	20p13	BG249690	100507459	ENSG00000225377	NR_109990		
NSFL1C	NSFL1 cofactor	20p13	AF112211	55968	ENSG00000088833	NM_016143	Q9UNZ2	uc002wfc.3
NTSR1	neurotensin receptor 1	20q13.33		4923	ENSG00000101188		P30989	uc002ydf.3
NXT1	nuclear transport factor 2 like export factor 1	20p11.21	AF156957	29107	ENSG00000132661	NM_013248	Q9UKK6	uc002wsx.2
OCSTAMP	osteoclast stimulatory transmembrane protein	20q13.12	AL034424	128506	ENSG00000149635	XM_496476	Q9BR26	uc010zxu.3
OGFR	opioid growth factor receptor	20q13.33	AF109134	11054	ENSG00000060491		Q9NZT2	uc002ydj.4
OGFR-AS1	OGFR antisense RNA 1	20q13.33	BQ187924, CA412981		ENSG00000229873			uc031rum.2
OPRL1	opioid related nociceptin receptor 1	20q13.33		4987	ENSG00000125510	NM_182647	P41146	uc002yic.4
OSBPL2	oxysterol binding protein like 2	20q13.33	AB018315	9885	ENSG00000130703	NM_014835	Q9H1P3	uc002yck.3
OSER1	oxidative stress responsive serine rich 1	20q13.12	AL035447	51526	ENSG00000132823	NM_016470	Q9NX31	
OSER1-AS1	OSER1 antisense RNA 1 (head to head)	20q13.12		100505783	ENSG00000223891			
OTOR	otoraplin	20p12.1	AF233261	56914	ENSG00000125879		Q9NRC9	uc002wpj.5
OVOL2	ovo like zinc finger 2	20p11.23	AK022284	58495	ENSG00000125850	NM_021220	Q9BRP0	uc002wqi.1
OXT	oxytocin/neurophysin I prepropeptide	20p13		5020	ENSG00000101405	NM_000915	P01178	uc002wht.2
PA2G4P2	proliferation-associated 2G4 pseudogene 2	20p12.1	AL136460	170533	ENSG00000235698			
PABPC1L	poly(A) binding protein cytoplasmic 1 like	20q13.12	AK026760	80336	ENSG00000101104		Q4VXU2	uc010ggv.1
PAK5	p21 (RAC1) activated kinase 5	20p12.2	AB033090	57144	ENSG00000101349		Q9P286	uc002wnl.3
PANK2	pantothenate kinase 2	20p13	AK021791	80025	ENSG00000125779	NM_024960	Q9BZ23	uc002wkc.3
PARAL1	PPARG activating RBM14 associated lncRNA 1	20p12.2		101929371	ENSG00000243961	NR_109861		
PARD6B	par-6 family cell polarity regulator beta	20q13.13	AB044555	84612	ENSG00000124171	NM_032521	Q9BYG5	uc002xvo.3
PAX1	paired box 1	20p11.22		5075	ENSG00000125813		P15863	uc002wsj.4
PCED1A	PC-esterase domain containing 1A	20p13	AK026029	64773	ENSG00000132635	NM_022760	Q9H1Q7	uc002wgz.3
PCIF1	PDX1 C-terminal inhibiting factor 1	20q13.12	AB050014	63935	ENSG00000100982	NM_022104	Q9H4Z3	uc002xqs.4
PCK1	phosphoenolpyruvate carboxykinase 1	20q13.31		5105	ENSG00000124253		P35558	uc002xyn.5
PCMTD1P7	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 7	20q11.1		107080553	ENSG00000282949			
PCMTD1P8	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 8	20q11.21						
PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	20q13.33	AK001745	55251	ENSG00000203880	NM_018257	Q9NV79	uc002yil.5
PCNA	proliferating cell nuclear antigen	20p12.3	J04718	5111	ENSG00000132646		P12004	uc002wlq.4
PCNA-AS1	PCNA antisense RNA 1	20p12.3		100302739				
PCSK2	proprotein convertase subtilisin/kexin type 2	20p12.1	AK312341	5126	ENSG00000125851	NM_002594	P16519	uc002wpm.4
PDRG1	p53 and DNA damage regulated 1	20q11.21	AL031658	81572	ENSG00000088356	NM_030815	Q9NUG6	uc002wxd.4
PDYN	prodynorphin	20p13		5173	ENSG00000101327		P01213	uc021vzu.2
PDYN-AS1	PDYN antisense RNA 1	20p13		727993	ENSG00000233896	NR_134520		
PET117	PET117 homolog	20p11.23		100303755	ENSG00000232838	NM_001164811	Q6UWS5	uc021wba.2
PFDN4	prefoldin subunit 4	20q13.2	U41816	5203	ENSG00000101132	NM_002623	Q9NQP4	uc002xwx.4
PGAM3P	phosphoglycerate mutase 3, pseudogene	20p12.2	AL109837	170535	ENSG00000237256			
PGBD4P2	piggyBac transposable element derived 4 pseudogene 2	20q13.12		100421228	ENSG00000277708			
PHACTR3	phosphatase and actin regulator 3	20q13.32-q13.33	AJ311122	116154	ENSG00000087495	NM_080672	Q96KR7	uc002yau.5
PHF20	PHD finger protein 20	20q11.22-q11.23	AL109965	51230	ENSG00000025293	NM_016436	Q9BVI0	uc002xek.2
PHKBP1	phosphorylase kinase regulatory subunit beta pseudogene 1	20p12.3		5258	ENSG00000226262			
PI3	peptidase inhibitor 3	20q13.12	D13156	5266	ENSG00000124102	NM_002638	P19957	uc002xng.4
PIEZO1P1	piezo type mechanosensitive ion channel component 1 pseudogene 1	20q13.32	AL389889	128615	ENSG00000233686	NG_011695		
PIEZO1P2	piezo type mechanosensitive ion channel component 1 pseudogene 2	20q13.32		100874493	ENSG00000237121			
PIGPP3	phosphatidylinositol glycan anchor biosynthesis class P pseudogene 3	20q11.22		100128033	ENSG00000228958	NG_030237		
PIGT	phosphatidylinositol glycan anchor biosynthesis class T	20q13.12		51604	ENSG00000124155	NM_015937	Q969N2	uc002xoh.4
PIGU	phosphatidylinositol glycan anchor biosynthesis class U	20q11.22	AL118520	128869	ENSG00000101464	NM_080476	Q9H490	uc002xas.4
PIRC103	piwi-interacting RNA cluster 103	20		100313901				
PIRC104	piwi-interacting RNA cluster 104	20		100313801				
PKIG	cAMP-dependent protein kinase inhibitor gamma	20q13.12	AB019517	11142	ENSG00000168734		Q9Y2B9	uc002xmi.5
PLAGL2	PLAG1 like zinc finger 2	20q11.21		5326	ENSG00000126003	NM_002657	Q9UPG8	uc002wxn.3
PLCB1	phospholipase C beta 1	20p12.3	AB011153	23236	ENSG00000182621		Q9NQ66	uc002wnb.5
PLCB1-IT1	PLCB1 intronic transcript 1	20p12.3			ENSG00000225479			uc061vib.1
PLCB4	phospholipase C beta 4	20p12.3-p12.2		5332	ENSG00000101333		Q15147	uc021wam.2
PLCG1	phospholipase C gamma 1	20q12	M34667	5335	ENSG00000124181	NM_182811	P19174	uc002xjo.2
PLCG1-AS1	PLCG1 antisense RNA 1	20q12		101927117	ENSG00000226648			
PLTP	phospholipid transfer protein	20q13.12	L26232	5360	ENSG00000100979	NM_006227	P55058	uc002xqn.3
PMEPA1	prostate transmembrane protein, androgen induced 1	20q13.31	AF224278	56937	ENSG00000124225	NM_020182	Q969W9	uc002xyt.5
POFUT1	protein O-fucosyltransferase 1	20q11.21	AF375884	23509	ENSG00000101346	NM_015352	Q9H488	uc002wxp.4
POLR3F	RNA polymerase III subunit F	20p11.23	U93869	10621	ENSG00000132664	NM_006466	Q9H1D9	uc002wqv.5
POM121L3P	POM121 transmembrane nucleoporin like 3, pseudogene	20p11.21	AL133466	651452	ENSG00000167390	NM_152863		
PPDPF	pancreatic progenitor cell differentiation and proliferation factor	20q13.33	AL121829	79144	ENSG00000125534		Q9H3Y8	uc002yff.4
PPIAP2	peptidylprolyl isomerase A pseudogene 2	20p11.21	AL353812	170537	ENSG00000227379			
PPIAP3	peptidylprolyl isomerase A pseudogene 3	20q11.23	AL109614	170539	ENSG00000235044			
PPIAP10	peptidylprolyl isomerase A pseudogene 10	20q13.2	AL354993	140913	ENSG00000224530	NG_001008		
PPIAP17	peptidylprolyl isomerase A pseudogene 17	20p12.1	AL161941, NG_001049	170540	ENSG00000225622	NG_001049		
PPIAP21	peptidylprolyl isomerase A pseudogene 21	20q13.11	AL021395	170536	ENSG00000226038	NG_001566		
PPP1R3D	protein phosphatase 1 regulatory subunit 3D	20q13.33	Y18206	5509	ENSG00000132825	NM_006242	O95685	uc002ybb.4
PPP1R16B	protein phosphatase 1 regulatory subunit 16B	20q11.23	AB020630	26051	ENSG00000101445	NM_015568	Q96T49	uc002xje.3
PPP4R1L	protein phosphatase 4 regulatory subunit 1 like (pseudogene)	20q13.32	AF119843	55370	ENSG00000124224	NR_003505	Q9P1A2	
PRELID3B	PRELI domain containing 3B	20q13.32	AF151865	51012	ENSG00000101166	NM_016045	Q9Y3B1	
PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	20q13.13	AB037836	57580	ENSG00000124126	NM_020820	Q8TCU6	uc002xtw.2
PRND	prion like protein doppel	20p13	AF106918	23627	ENSG00000171864	NM_012409	Q9UKY0	uc002wkz.5
PRNP	prion protein	20p13	M13899	5621	ENSG00000171867	NM_000311	F7VJQ1, P04156	uc021wae.3
PRNT	prion locus lncRNA, testis expressed	20p13	AL137296, AJ427539	149830	ENSG00000180259	NR_024267	Q86SH4	uc002wlb.4
PROCR	protein C receptor	20q11.22	L35545	10544	ENSG00000101000		Q9UNN8	uc284prb.1
PROKR2	prokineticin receptor 2	20p12.3	AL121755	128674	ENSG00000101292	NM_144773	Q8NFJ6	uc010zqw.3
PRPF6	pre-mRNA processing factor 6	20q13.33	AF026031	24148	ENSG00000101161	NM_012469	O94906	uc002yho.4
PSMA7	proteasome subunit alpha 7	20q13.33	AF022815	5688	ENSG00000101182	NM_002792	O14818	uc002ybx.3
PSMD10P1	proteasome 26S subunit, non-ATPase, 10 pseudogene 1	20q13.13	AL034553	170541	ENSG00000228663	NG_001050		
PSMF1	proteasome inhibitor subunit 1	20p13	D88378	9491	ENSG00000125818	NM_178578	Q92530	uc002wel.4
PTGIS	prostaglandin I2 synthase	20q13.13		5740	ENSG00000124212		Q16647	uc002xut.4
PTK6	protein tyrosine kinase 6	20q13.33	U61412	5753	ENSG00000101213		Q13882	uc002yfg.5
PTMAP3	prothymosin alpha pseudogene 3	20p11.23	S41695	5760	ENSG00000218902	NG_001180		
PTMAP6	prothymosin alpha pseudogene 6	20q13.31	AL121920	170542	ENSG00000237000			
PTPN1	protein tyrosine phosphatase, non-receptor type 1	20q13.13		5770	ENSG00000196396		P18031	uc002xvl.5
PTPRA	protein tyrosine phosphatase, receptor type A	20p13			ENSG00000132670		P18433	uc002whk.4
PTPRT	protein tyrosine phosphatase, receptor type T	20q12-q13.11	AF043644	11122	ENSG00000196090		O14522	uc061xcb.1
PUDPP3	pseudouridine 5'-phosphatase pseudogene 3	20q11.21		391242	ENSG00000214245			
PXMP4	peroxisomal membrane protein 4	20q11.22	AF072864	11264	ENSG00000101417	NM_007238	Q9Y6I8	uc002wzv.4
PYGB	glycogen phosphorylase B	20p11.21		5834	ENSG00000100994	NM_002862	P11216	uc002wup.4
R3HDML	R3H domain containing like	20q13.12	BC107048	140902	ENSG00000101074	NM_178491	Q9H3Y0	uc002xls.3
RAB5IF	RAB5 interacting factor	20q11.23	AF112213	55969	ENSG00000101084	NM_018840	Q9BUV8	uc002xfq.3
RAB22A	RAB22A, member RAS oncogene family	20q13.32	AF091034	57403	ENSG00000124209		Q9UL26	uc002xyz.4
RAD21L1	RAD21 cohesin complex component like 1	20p13	AL031665	642636	ENSG00000244588		Q9H4I0	uc010gab.1
RAE1	ribonucleic acid export 1	20q13.31	U84720	8480	ENSG00000101146		P78406	uc002xyg.4
RALGAPA2	Ral GTPase activating protein catalytic alpha subunit 2	20p11.23	AL078634, DQ310704	57186	ENSG00000188559	NM_020343	Q2PPJ7	uc002wrz.4
RALGAPB	Ral GTPase activating protein non-catalytic beta subunit	20q11.23	AB033045	57148	ENSG00000170471	NM_020336	Q86X10	uc002xiw.5
RALY	RALY heterogeneous nuclear ribonucleoprotein	20q11.22	AF148457	22913	ENSG00000125970		Q9UKM9	uc002xab.4
RALY-AS1	RALY antisense RNA 1	20q11.22		101926888	ENSG00000228265			
RARRES2P11	retinoic acid receptor responder 2 pseudogene 11	20q11.1		107075248	ENSG00000283123			
RASSF2	Ras association domain family member 2	20p13	D79990	9770	ENSG00000101265	NM_014737	P50749	uc002wlf.3
RBBP8NL	RBBP8 N-terminal like	20q13.33	AL121832	140893	ENSG00000130701	NM_080833	Q8NC74	uc002ycw.3
RBBP9	RB binding protein 9, serine hydrolase	20p11.23	AF039564	10741	ENSG00000089050	NM_006606	O75884	uc002wqy.5
RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	20p13	U67322	10616	ENSG00000125826	NM_031229	Q9BYM8	uc002wdp.5
RBL1	RB transcriptional corepressor like 1	20q11.23	L14812	5933	ENSG00000080839	NM_002895	P28749	uc002xgi.5
RBM12	RNA binding motif protein 12	20q11.22	AJ289772	10137	ENSG00000244462	NM_006047	Q9NTZ6	uc002xdr.4
RBM38	RNA binding motif protein 38	20q13.31	X75314	55544	ENSG00000132819	NM_183425	Q9H0Z9	uc010zzj.3
RBM39	RNA binding motif protein 39	20q11.22	L10910	9584	ENSG00000131051	NM_184237	Q14498	uc002xeb.4
RBPJL	recombination signal binding protein for immunoglobulin kappa J region like	20q13.12	AB024964	11317	ENSG00000124232	NM_014276	Q9UBG7	uc002xns.5
REM1	RRAD and GEM like GTPase 1	20q11.21	AF152863	28954	ENSG00000088320	NM_014012	O75628	uc002wwa.5
RGS19	regulator of G protein signaling 19	20q13.33	X91809	10287	ENSG00000171700	NM_005873	P49795	uc002yib.5
RIMS4	regulating synaptic membrane exocytosis 4	20q13.12		140730	ENSG00000101098	NM_182970	Q9H426	uc002xms.4
RIN2	Ras and Rab interactor 2	20p11.23	AB060339	54453	ENSG00000132669		Q8WYP3	uc002wro.3
RIPOR3	RIPOR family member 3	20q13.13	AL133230	140876	ENSG00000042062		Q96MK2	uc010zyt.3
RN7SKP33	RNA, 7SK small nuclear pseudogene 33	20q13.12		106480843	ENSG00000222874			uc061xni.1
RN7SKP69	RNA, 7SK small nuclear pseudogene 69	20p12.1		106480461	ENSG00000202260			uc021wav.1
RN7SKP74	RNA, 7SK small nuclear pseudogene 74	20p11.23		106479127	ENSG00000199719			uc061vpt.1
RN7SKP100	RNA, 7SK small nuclear pseudogene 100	20q12		106479139	ENSG00000223190			uc021wdw.1
RN7SKP111	RNA, 7SK small nuclear pseudogene 111	20p12.2		106479144	ENSG00000222281			uc061vkl.1
RN7SKP140	RNA, 7SK small nuclear pseudogene 140	20p11.22		106480366	ENSG00000223128			uc061vue.1
RN7SKP173	RNA, 7SK small nuclear pseudogene 173	20q11.23		106635535	ENSG00000199691			uc061wzd.1
RN7SKP184	RNA, 7SK small nuclear pseudogene 184	20q13.2		106480470	ENSG00000199218			uc021wew.1
RN7SKP185	RNA, 7SK small nuclear pseudogene 185	20q11.23		106479178	ENSG00000199683			uc061wwo.1
RN7SKP271	RNA, 7SK small nuclear pseudogene 271	20q11.22		106480916	ENSG00000222460			uc021wcp.1
RN7SL14P	RNA, 7SL, cytoplasmic 14, pseudogene	20p11.23		106480481	ENSG00000266720			uc061vpn.1
RN7SL116P	RNA, 7SL, cytoplasmic 116, pseudogene	20q11.23		106480488	ENSG00000240474			uc021wdo.2
RN7SL156P	RNA, 7SL, cytoplasmic 156, pseudogene	20q11.23		106480963	ENSG00000242509			uc061wum.1
RN7SL170P	RNA, 7SL, cytoplasmic 170, pseudogene	20q13.31		106479283	ENSG00000241821			uc061xxg.1
RN7SL197P	RNA, 7SL, cytoplasmic 197, pseudogene	20q13.13		106480975	ENSG00000276031			uc061xqm.1
RN7SL237P	RNA, 7SL, cytoplasmic 237, pseudogene	20q11.23		106479308	ENSG00000264767			uc021wdk.2
RN7SL443P	RNA, 7SL, cytoplasmic 443, pseudogene	20q13.12		106480510	ENSG00000241229			uc061xee.1
RN7SL498P	RNA, 7SL, cytoplasmic 498, pseudogene	20p12.3		106479405	ENSG00000263755			uc061vgz.1
RN7SL547P	RNA, 7SL, cytoplasmic 547, pseudogene	20p12.3		106479421	ENSG00000240584			uc061vhn.1
RN7SL555P	RNA, 7SL, cytoplasmic 555, pseudogene	20p13		106479424	ENSG00000263905			uc061vcx.1
RN7SL561P	RNA, 7SL, cytoplasmic 561, pseudogene	20p13		106481075	ENSG00000242348			uc061uzu.1
RN7SL594P	RNA, 7SL, cytoplasmic 594, pseudogene	20p11.1		106479439	ENSG00000242236			uc061vyl.1
RN7SL607P	RNA, 7SL, cytoplasmic 607, pseudogene	20p11.23		106481088	ENSG00000278525			uc061vth.1
RN7SL615P	RNA, 7SL, cytoplasmic 615, pseudogene	20q12		106479446	ENSG00000263989			uc061xbk.1
RN7SL636P	RNA, 7SL, cytoplasmic 636, pseudogene	20q13.13		106481097	ENSG00000244376			uc061xsc.1
RN7SL638P	RNA, 7SL, cytoplasmic 638, pseudogene	20p11.23		106479455	ENSG00000243702			uc061vqy.1
RN7SL666P	RNA, 7SL, cytoplasmic 666, pseudogene	20q13.11		106481854	ENSG00000240639			uc061xco.1
RN7SL672P	RNA, 7SL, cytoplasmic 672, pseudogene	20q13.13		106481106	ENSG00000239742			uc061xsd.1
RN7SL680P	RNA, 7SL, cytoplasmic 680, pseudogene	20q12		106480380	ENSG00000275337			uc061wzq.1
RN7SL690P	RNA, 7SL, cytoplasmic 690, pseudogene	20p11.23		106479475	ENSG00000264879			uc061vtb.1
RN7SL864P	RNA, 7SL, cytoplasmic 864, pseudogene	20p12.1		106479536	ENSG00000239923			uc021waq.2
RNA5-8SP7	RNA, 5.8S ribosomal pseudogene 7	20p12.3		100873573	ENSG00000200313			uc061vfw.1
RNA5SP474	RNA, 5S ribosomal pseudogene 474	20p13		100873716	ENSG00000212536			uc021wah.1
RNA5SP475	RNA, 5S ribosomal pseudogene 475	20p12.1		100873717	ENSG00000222500			uc061vna.1
RNA5SP476	RNA, 5S ribosomal pseudogene 476	20p11.23		100873718	ENSG00000252422			uc061vqg.1
RNA5SP477	RNA, 5S ribosomal pseudogene 477	20p11.23		100873719	ENSG00000199509			uc061vtq.1
RNA5SP478	RNA, 5S ribosomal pseudogene 478	20p11.21		100873720	ENSG00000201527			uc061vuz.1
RNA5SP479	RNA, 5S ribosomal pseudogene 479	20p11.21		100873721	ENSG00000201728			uc061vvl.1
RNA5SP480	RNA, 5S ribosomal pseudogene 480	20q11.21		100873722	ENSG00000252649			uc061wbg.1
RNA5SP481	RNA, 5S ribosomal pseudogene 481	20q11.21		100873723	ENSG00000252623			uc032pfx.2
RNA5SP482	RNA, 5S ribosomal pseudogene 482	20q11.21		100873724	ENSG00000212571			uc061wdm.1
RNA5SP483	RNA, 5S ribosomal pseudogene 483	20q11.22		100873725	ENSG00000200301			uc061wla.1
RNA5SP484	RNA, 5S ribosomal pseudogene 484	20q12		100873726	ENSG00000238908			uc021wds.1
RNA5SP485	RNA, 5S ribosomal pseudogene 485	20q13.12		100873727	ENSG00000201923			uc021wek.1
RNA5SP486	RNA, 5S ribosomal pseudogene 486	20q13.13		100873728	ENSG00000251770			uc061xoq.1
RNA5SP487	RNA, 5S ribosomal pseudogene 487	20q13.2		100873729	ENSG00000222118			uc061xvz.1
RNA5SP528	RNA, 5S ribosomal pseudogene 528	20q11.21		111644145	ENSG00000275305			
RNA5SP532	RNA, 5S ribosomal pseudogene 532	20q11.1			ENSG00000283433			
RNF11P2	ring finger protein 11 pseudogene 2	20p12.1	AL121582	170543	ENSG00000227563			
RNF24	ring finger protein 24	20p13	AF151081		ENSG00000101236		Q9Y225	uc002wkh.4
RNF114	ring finger protein 114	20q13.13	AF265215	55905	ENSG00000124226	NM_018683	Q9Y508	uc002xux.4
RNU1-23P	RNA, U1 small nuclear 23, pseudogene	20p11.21		106478980	ENSG00000200231			uc061vwd.1
RNU1-55P	RNA, U1 small nuclear 55, pseudogene	20p12.3		106481954	ENSG00000202380			
RNU1-94P	RNA, U1 small nuclear 94, pseudogene	20q11.21		106481956	ENSG00000199497			
RNU1-131P	RNA, U1 small nuclear 131, pseudogene	20p12.1		106480193	ENSG00000238833			
RNU1-134P	RNA, U1 small nuclear 134, pseudogene	20q13.33		106480194	ENSG00000199805			
RNU2-52P	RNA, U2 small nuclear 52, pseudogene	20q12		107080629	ENSG00000222612			
RNU2-56P	RNA, U2 small nuclear 56, pseudogene	20p11.23		106480221	ENSG00000252635			
RNU4-40P	RNA, U4 small nuclear 40, pseudogene	20q11.23		106479576	ENSG00000201221			uc061wrv.1
RNU4ATAC7P	RNA, U4atac small nuclear 7, pseudogene	20q13.2		106480539	ENSG00000252089			uc021wez.1
RNU6-27P	RNA, U6 small nuclear 27, pseudogene	20p12.1		106478918	ENSG00000251955			
RNU6-115P	RNA, U6 small nuclear 115, pseudogene	20p12.1		106479617	ENSG00000201180			
RNU6-147P	RNA, U6 small nuclear 147, pseudogene	20q13.13		106480556	ENSG00000206710			
RNU6-192P	RNA, U6 small nuclear 192, pseudogene	20p12.1		106481237	ENSG00000212555			
RNU6-228P	RNA, U6 small nuclear 228, pseudogene	20p12.1		106479668	ENSG00000199570			
RNU6-278P	RNA, U6 small nuclear 278, pseudogene	20p12.1		106481767	ENSG00000212247			
RNU6-347P	RNA, U6 small nuclear 347, pseudogene	20q13.2		106479720	ENSG00000252467			
RNU6-384P	RNA, U6 small nuclear 384, pseudogene	20q11.21		106481299	ENSG00000201770			
RNU6-407P	RNA, U6 small nuclear 407, pseudogene	20q11.22		106479745	ENSG00000202150			
RNU6-497P	RNA, U6 small nuclear 497, pseudogene	20q13.12		106479786	ENSG00000202186			
RNU6-563P	RNA, U6 small nuclear 563, pseudogene	20q13.12		106481359	ENSG00000201742			
RNU6-639P	RNA, U6 small nuclear 639, pseudogene	20q13.12		106479849	ENSG00000206801			
RNU6-743P	RNA, U6 small nuclear 743, pseudogene	20q13.11		106480605	ENSG00000201021			
RNU6-759P	RNA, U6 small nuclear 759, pseudogene	20q11.22		106479902	ENSG00000252549			
RNU6-917P	RNA, U6 small nuclear 917, pseudogene	20p13		106479971	ENSG00000252103			
RNU6-919P	RNA, U6 small nuclear 919, pseudogene	20q13.13		106479972	ENSG00000252540			
RNU6-929P	RNA, U6 small nuclear 929, pseudogene	20q13.31		106481473	ENSG00000207158			
RNU6-937P	RNA, U6 small nuclear 937, pseudogene	20q11.23		106479980	ENSG00000207053			
RNU6-994P	RNA, U6 small nuclear 994, pseudogene	20q13.33		106480006	ENSG00000222439			
RNU6-1018P	RNA, U6 small nuclear 1018, pseudogene	20q12		106481502	ENSG00000252386			
RNU6-1019P	RNA, U6 small nuclear 1019, pseudogene	20p13		106480015	ENSG00000201294			
RNU6-1146P	RNA, U6 small nuclear 1146, pseudogene	20q13.31		106480070	ENSG00000252091			
RNU6-1159P	RNA, U6 small nuclear 1159, pseudogene	20p12.1		106481939	ENSG00000199803			
RNU6-1251P	RNA, U6 small nuclear 1251, pseudogene	20q13.12		106480112	ENSG00000201372			
